Judge Name,Year,In Minority Ratio
Ron McCarthy,2021,0.06936416184971098
David Lethaby,2023,0.06926406926406926
Sal D'Amato,2015,0.06918238993710692
David Lethaby,2017,0.06862745098039216
Eric Colón,2020,0.06832298136645963
David Lethaby,2018,0.06818181818181818
Paul Sutherland,2015,0.06818181818181818
Tony Weeks,2016,0.06796116504854369
Glenn Trowbridge,2011,0.06741573033707865
Ben Cartlidge,2016,0.06722689075630252
Mark Collett,2013,0.06666666666666667
Junichiro Kamijo,2015,0.06666666666666667
Roy Silbert,2014,0.06666666666666667
Junichiro Kamijo,2011,0.06666666666666667
Jon Hand,2021,0.06666666666666667
Andy Sledge,2014,0.06557377049180328
Andy Sledge,2013,0.06521739130434782
Vito Paolillo,2023,0.06493506493506493
Ron McCarthy,2022,0.06474820143884892
Junichiro Kamijo,2023,0.06467661691542288
Ben Cartlidge,2020,0.06451612903225806
David Therien,2014,0.06451612903225806
Susan Thomas-Gitlin,2012,0.06451612903225806
Andy Sledge,2016,0.06451612903225806
Clemens Werner,2023,0.06382978723404255
Douglas Crosby,2014,0.06382978723404255
Eliot Kelly,2023,0.06382978723404255
Derek Cleary,2019,0.06372549019607843
Sal D'Amato,2020,0.06363636363636363
Wade Vierra,2016,0.0625
Marco Aurelio Borges,2015,0.0625
Szymon Bonkowski,2014,0.0625
Tony Weeks,2019,0.0625
Mark Smith,2015,0.0625
Ben Cartlidge,2017,0.0625
Guilherme Bravo,2018,0.0625
Dave Hagen,2018,0.0625
Michael Murtha,2021,0.0625
Junichiro Kamijo,2018,0.0625
Tony Weeks,2021,0.0625
Sal D'Amato,2023,0.062135922330097085
Chris Lee,2017,0.061946902654867256
Sal D'Amato,2017,0.06179775280898876
Sal D'Amato,2021,0.061611374407582936
Richard Bertrand,2014,0.06153846153846154
Ben Cartlidge,2019,0.061224489795918366
David Lethaby,2014,0.061068702290076333
Sal D'Amato,2022,0.06091370558375635
Patricia Morse Jarman,2013,0.06060606060606061
Benoit Roussel,2012,0.06060606060606061
Michael Lepicki,2021,0.06060606060606061
Tony Weeks,2023,0.06060606060606061
Eric Colón,2024,0.05970149253731343
